Time,F_Scale,Location,County,State,Lat,Lon,Comments
2120,150,4 W ROSSVILLE,SHAWNEE,KS,39.14,-96.03,(TOP)
2125,100,2 NE POTWIN,BUTLER,KS,37.96,-96.99,FIRE DEPARTMENT REPORTS QUARTER SIZED HAIL 3 MILES NORTH AND 2 MILES EAST OF THE CITY OF POTWIN. (ICT)
2125,100,5 NW WOOD RIVER,HALL,NE,40.87,-98.67,(GID)
2126,175,2 W WESTBORO,ATCHISON,MO,40.53,-95.36,(EAX)
2128,100,4 ENE WAKEFIELD,RILEY,KS,39.24,-96.95,(TOP)
2130,100,DUNLAP,HARRISON,IA,41.85,-95.6,MOSTLY PEA TO NICKLE WITH JUST A FEW QUARTER SIZE HAILSTONES. (OAX)
2131,100,LA BELLE,LEWIS,MO,40.12,-91.91,OBSERVERS COMMENTS....FAST MOVING STORM HAIL LASTED ONLY A BRIEF PERIOD. (LSX)
2134,150,3 ENE WAKEFIELD,CLAY,KS,39.23,-96.97,(TOP)
2136,125,1 W NEMAHA,NEMAHA,NE,40.34,-95.69,(OAX)
2137,260,5 WNW ARCADIA,OKLAHOMA,OK,35.69,-97.41,(OUN)
2138,200,5 ESE AUBURN,NEMAHA,NE,40.36,-95.75,(OAX)
2139,175,EL DORADO LAKE,BUTLER,KS,37.86,-96.79,DELAYED REPORT OF GOLF BALL SIZE HAIL JUST NORTH OF EL DORADO LAKE (ICT)
2139,100,AUBURN,NEMAHA,NE,40.39,-95.84,(OAX)
2140,175,4 SSE COLDWATER,COMANCHE,KS,37.2,-99.32,(DDC)
2142,175,COLDWATER,COMANCHE,KS,37.26,-99.34,(DDC)
2144,175,4 N ST. LIBORY,HOWARD,NE,41.14,-98.35,(GID)
2145,100,1 SE ERICSON,WHEELER,NE,41.77,-98.66,QUARTER SIZE HAIL REPORTED AT 445 PM NEAR ERICSON. (LBF)
2146,100,WOOD RIVER,HALL,NE,40.82,-98.6,(GID)
2150,250,5 S COLDWATER,COMANCHE,KS,37.19,-99.34,TENNIS BALL SIZE HAIL WAS REPORTED BY LAW ENFORCEMENT 5 MILES SOUTH OF COLDWATER. (DDC)
2150,175,QUINTER,GOVE,KS,39.07,-100.23,MAINLY PEA SIZED BUT SEVERAL LARGER STONES (GLD)
2150,100,4 N RANDOLPH,RILEY,KS,39.49,-96.76,(TOP)
2151,275,3 N LUTHER,OKLAHOMA,OK,35.71,-97.18,(OUN)
2152,100,LANCASTER,GARRARD,KY,37.62,-84.58,(LMK)
2155,200,2 WSW BLANCHARD,GRADY,OK,35.13,-97.69,(OUN)
2156,175,6 N ROCKPORT,ATCHISON,MO,40.5,-95.52,ALSO 60 TO 70 MPH WINDS (EAX)
2158,100,ALDA,HALL,NE,40.86,-98.47,(GID)
2202,125,3 WNW NORMAN,CLEVELAND,OK,35.24,-97.49,36TH NW AND ROCK CREEK RD (OUN)
2203,100,4 S CARMAN,HENDERSON,IL,40.68,-91.07,PEA TO QUARTER SIZE HAIL. (DVN)
2205,100,2 S NEWCASTLE,MCCLAIN,OK,35.22,-97.6,(OUN)
2205,100,2 SE WILMORE,COMANCHE,KS,37.32,-99.18,ALSO REPORTED 70 MPH WINDS. (DDC)
2205,100,N ROCK,COWLEY,KS,37.44,-97.01,(ICT)
2205,175,BURLINGTON,DES MOINES,IA,40.81,-91.12,SPOTTER FORWARDED PICTURES OF GOLFBALL HAIL FROM FRIEND IN BURLINGTON. TIME ESTIMATED BASED ON TIME STAMP ON PHOTOS. (DVN)
2205,100,2 S ALDA,HALL,NE,40.84,-98.47,(GID)
2206,100,2 SSE BURLINGTON,DES MOINES,IA,40.78,-91.1,(DVN)
2206,100,VILLISCA,MONTGOMERY,IA,40.93,-94.98,(OAX)
2207,100,ESE WAYLAND,CLARK,MO,40.39,-91.58,ALSO WIND GUSTS ESTIMATED TO BE OVER 50 MPH FROM THE WEST SOUTHWEST AND VERY HEAVY RAIN. (DVN)
2207,175,BURLINGTON,DES MOINES,IA,40.81,-91.12,JUST EAST OF THE BURLINGTON AIRPORT. (DVN)
2208,150,2 SSE BURLINGTON,DES MOINES,IA,40.79,-91.11,(DVN)
2209,100,2 SE BURLINGTON,DES MOINES,IA,40.79,-91.1,(DVN)
2210,125,BLANCHARD,MCCLAIN,OK,35.15,-97.66,COUNTY LINE RD AND HWY 62 (OUN)
2210,100,BENNINGTON,OTTAWA,KS,39.03,-97.59,(TOP)
2211,100,ALDA,HALL,NE,40.86,-98.47,(GID)
2213,250,3 WSW CARBON,ADAMS,IA,41.03,-94.87,HAIL COMPLETELY COVERING THE GROUND (DMX)
2215,300,NW CARBON,ADAMS,IA,41.07,-94.83,2 TO 3 INCH DIAMETER HAIL. VIA SOCIAL MEDIA. (DMX)
2217,125,4 SSW KEOKUK,HANCOCK,IL,40.36,-91.44,TIME ESTIMATED FROM RADAR. (DVN)
2220,100,5 W BURWELL,LOUP,NE,41.78,-99.23,(LBF)
2221,100,4 SSW KEOKUK,HANCOCK,IL,40.36,-91.44,QUARTER SIZED HAIL AND WIND GUSTS TO ABOUT 40 MPH. (DVN)
2222,100,ALTA VISTA,WABAUNSEE,KS,38.86,-96.49,(TOP)
2223,100,4 W COATS,PRATT,KS,37.51,-98.9,(DDC)
2223,100,4 N ST. CHARLES,WINONA,MN,44.03,-92.06,ALSO LARGE PIECES OF TIN METAL 6 FT LONG BLOWN OUT (ARX)
2224,100,1 E SHENANDOAH,PAGE,IA,40.76,-95.35,NICKEL TO QUARTER-SIZE HAIL NEAR SHENANDOAH. (OAX)
2225,100,4 ESE VODA,TREGO,KS,39.02,-99.95,(DDC)
2225,175,S KEOKUK,LEE,IA,40.4,-91.4,(DVN)
2226,150,2 N NORMAN,CLEVELAND,OK,35.25,-97.44,NEAR MAX WESTHEIMER AIRPORT. FROM KFOR (OUN)
2227,175,2 NW NORMAN,CLEVELAND,OK,35.24,-97.47,36TH AND TECUSEMAH (OUN)
2227,100,HASTINGS,ADAMS,NE,40.59,-98.39,NWS EMPLOYEE REPORTS HAIL UP TO ONE INCH (GID)
2227,100,PLATTE CENTER,PLATTE,NE,41.54,-97.49,(OAX)
2228,175,1 WNW KEOKUK,LEE,IA,40.41,-91.42,(DVN)
2228,100,HASTINGS,ADAMS,NE,40.59,-98.39,MOSTLY PENNY TO NICKEL SIZED (GID)
2230,300,N NORMAN,CLEVELAND,OK,35.22,-97.44,E 12TH AND TECUMSEH (OUN)
2233,100,WAKEENEY,TREGO,KS,39.02,-99.88,(DDC)
2235,100,RANDOLPH,RILEY,KS,39.43,-96.76,(TOP)
2235,125,14 N TAYLOR,LOUP,NE,41.97,-99.38,(LBF)
2236,125,HASTINGS,ADAMS,NE,40.59,-98.39,(GID)
2238,100,HAMILTON,HANCOCK,IL,40.39,-91.36,(DVN)
2239,175,1 W NEWCASTLE,MCCLAIN,OK,35.25,-97.62,(OUN)
2240,175,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,(OUN)
2240,100,LONGFORD,CLAY,KS,39.17,-97.33,40 TO 50 MPH WINDS ALSO REPORTED. (TOP)
2241,175,2 NW PRATT,PRATT,KS,37.67,-98.76,(DDC)
2242,150,2 W NORMAN,CLEVELAND,OK,35.22,-97.48,(OUN)
2243,125,2 NW PRATT,PRATT,KS,37.67,-98.76,SEVERAL WINDOWS BROKEN AT HIS HOUSE. (DDC)
2245,100,2 SE WILL ROGERS AIRPOR,CLEVELAND,OK,35.37,-97.57,(OUN)
2245,125,3 N PRATT,PRATT,KS,37.69,-98.74,ALSO 70 MPH WINDS REPORTED. (DDC)
2246,100,2 W FULLERTON,NANCE,NE,41.36,-98.01,(GID)
2246,100,ERICSON,WHEELER,NE,41.78,-98.68,(LBF)
2247,250,NW NORMAN,CLEVELAND,OK,35.22,-97.44,36TH AVE NW AND TECUMSEH RD (OUN)
2250,100,4 E LONGFORD,CLAY,KS,39.17,-97.26,(TOP)
2254,100,2 N PRATT,PRATT,KS,37.68,-98.74,(DDC)
2255,100,12 N ELLIS,ELLIS,KS,39.11,-99.52,(DDC)
2300,275,1 SE KEOKUK,LEE,IA,40.4,-91.39,DELAYED REPORT. BASEBALL SIZE HAIL KNOCKED OUT SKY LIGHTS AT WALMART STORE IN NORTHAST KEOKUK. GOLFBALL TO BASEBALL SIZE HAIL IN NORTH END OF TOWN. NICKEL TO QUARTER SI (DVN)
2302,100,MOORE,CLEVELAND,OK,35.34,-97.49,(OUN)
2303,100,OSAGE CITY,OSAGE,KS,38.63,-95.83,(TOP)
2304,100,WALCOTT,SCOTT,IA,41.59,-90.78,RELAYED BY SCOTT COUNTY SHERIFFS OFFICE (DVN)
2312,150,2 SSE VALLEY BROOK,CLEVELAND,OK,35.38,-97.47,(OUN)
2312,100,10 N PRATT,PRATT,KS,37.79,-98.74,(DDC)
2315,100,ELEVA,TREMPEALEAU,WI,44.58,-91.47,ALSO 50 MPH WIND GUSTS. (ARX)
2317,100,5 SSE SCRANTON,OSAGE,KS,38.72,-95.72,WIND GUSTS AROUND 35 TO 40 MPH (TOP)
2321,100,TINKER AIR FORCE BASE,OKLAHOMA,OK,35.42,-97.39,(OUN)
2325,100,4 NE SYLVIA,RENO,KS,38,-98.36,(ICT)
2325,100,1 SW OVERBROOK,OSAGE,KS,38.77,-95.58,(TOP)
2328,100,MIDWEST CITY,OKLAHOMA,OK,35.46,-97.37,29TH AND DOUGLAS (OUN)
2328,175,1 W WEST LAKE PARK,SCOTT,IA,41.52,-90.7,GOLFBALL HAIL ABOUT 0.5 MILES WEST OF WEST LAKE PARK. RELAYED BY NWS EMPLOYEE. (DVN)
2328,150,DAVENPORT,SCOTT,IA,41.56,-90.6,HAIL AT 112TH AVE AND US 61 IN DAVENPORT...REPORT VIA FACEBOOK. (DVN)
2329,100,2 SSE DAVENPORT,SCOTT,IA,41.53,-90.59,PEA TO QUARTER SIZE HAIL ALONG WITH TORRENTIAL RAINFALL AND WIND GUSTS OVER 45 MPH. (DVN)
2330,100,2 SW DAVENPORT,SCOTT,IA,41.54,-90.63,(DVN)
2333,100,SOUTH HUTCHINSON,RENO,KS,38.03,-97.94,EMERGENCY MANAGER REPORTS QUARTER SIZED HAIL AT BLANCHARD AND VALLEY PRIDE ON THE WEST SIDE OF SOUTH HUTCH. (ICT)
2334,100,1 W DAVENPORT,SCOTT,IA,41.56,-90.62,PEA TO QUARTER SIZED HAIL WEST SIDE OF DAVENPORT NEAR KIMBERLY AND FAIRMONT. (DVN)
2335,100,2 WSW HUTCHINSON,RENO,KS,38.05,-97.95,(ICT)
2340,100,DRUMRIGHT,CREEK,OK,35.99,-96.6,(TSA)
2340,100,ADEL,DALLAS,IA,41.61,-94.03,QUARTER SIZED HAIL,ZERO VISIBILITY AND STRONG WIND TAKING DOWN NUMEROUS TREE LIMBS. (DMX)
2340,100,4 N FORT DODGE,WEBSTER,IA,42.57,-94.18,(DMX)
2343,125,ADEL,DALLAS,IA,41.61,-94.03,(DMX)
2346,100,5 SSW BETTENDORF,ROCK ISLAND,IL,41.5,-90.51,MOSTLY PEA SIZE HAIL. (DVN)
0001,175,5 SSW KIRKWOOD,WARREN,IL,40.79,-90.78,QUARTER TO GOLF BALL. (DVN)
0004,100,5 ESE PLEASANT HILL,POLK,IA,41.57,-93.43,(DMX)
0016,100,ANKENY,POLK,IA,41.72,-93.61,(DMX)
0024,100,6 N PRAGUE,LINCOLN,OK,35.58,-96.69,(OUN)
0038,150,3 N WINSTON,DAVIESS,MO,39.91,-94.14,(EAX)
